name,country,team_id,roster_status,source_url,source_checked,display_name,official_fantasy_player_id,fifa_player_id,club,club_country,shirt_number,position,official_position,official_fantasy_position,official_price,fantasy_status,date_of_birth,federation_source_url,squad_announcement_date,team_squad_complete,source_notes
Riyad Mahrez,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Riyad Mahrez,11,,,,,MID,,MID,6.5,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Ibrahim Maza,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Ibrahim Maza,12,,,,,FWD,,FWD,5.4,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Anis Hadj Moussa,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Anis Hadj Moussa,13,,,,,FWD,,FWD,5.3,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Farès Ghedjemis,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Farès Ghedjemis,14,,,,,FWD,,FWD,4.4,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Ahmed Benbouali,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Ahmed Benbouali,15,,,,,FWD,,FWD,4.2,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Amin Chiakha,Algeria,1,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Amin Chiakha,16,,,,,FWD,,FWD,4,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Anthony Mandréa,Algeria,1,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Anthony Mandréa,17,,,,,GK,,GK,3.9,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Luca Zidane,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Luca Zidane,18,,,,,GK,,GK,3.8,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Melvin Mastil,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Melvin Mastil,19,,,,,GK,,GK,3.5,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Kilian Belazzoug,Algeria,1,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Kilian Belazzoug,20,,,,,GK,,GK,3.5,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Adil Boulbina,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Adil Boulbina,21,,,,,MID,,MID,4,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Yacine Titraoui,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Yacine Titraoui,22,,,,,MID,,MID,4.7,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Ramiz Zerrouki,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Ramiz Zerrouki,23,,,,,MID,,MID,5.3,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Hicham Boudaoui,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Hicham Boudaoui,24,,,,,MID,,MID,5.5,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Adil Aouchiche,Algeria,1,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Adil Aouchiche,25,,,,,MID,,MID,5.6,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Houssem Aouar,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Houssem Aouar,26,,,,,MID,,MID,6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Farès Chaïbi,Algeria,1,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Farès Chaïbi,27,,,,,MID,,MID,6.2,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Cristian Romero,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Cristian Romero,28,,,,,DEF,,DEF,4.9,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Marcos Senesi,Argentina,2,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Marcos Senesi,29,,,,,DEF,,DEF,4.7,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Nahuel Molina,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Nahuel Molina,30,,,,,DEF,,DEF,4.4,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Nicolás Otamendi,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Nicolás Otamendi,31,,,,,DEF,,DEF,4.4,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Marcos Acuña,Argentina,2,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Marcos Acuña,32,,,,,DEF,,DEF,4.3,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Lucas Martínez Quarta,Argentina,2,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Lucas Martínez Quarta,33,,,,,DEF,,DEF,4.3,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Nicolás Tagliafico,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Nicolás Tagliafico,34,,,,,DEF,,DEF,4.3,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Gabriel Rojas,Argentina,2,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Gabriel Rojas,35,,,,,DEF,,DEF,4,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Agustín Giay,Argentina,2,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Agustín Giay,36,,,,,DEF,,DEF,3.7,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Lionel Messi,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Lionel Messi,38,,,,,FWD,,FWD,10,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Julián Alvarez,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Julián Alvarez,39,,,,,FWD,,FWD,8.6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Gianluca Prestianni,Argentina,2,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Gianluca Prestianni,40,,,,,MID,,MID,5.6,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Giuliano Simeone,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Giuliano Simeone,41,,,,,MID,,MID,5.6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Nico González,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Nico González,42,,,,,MID,,MID,5.6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
José Manuel López,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,José Manuel López,43,,,,,FWD,,FWD,5.3,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Franco Mastantuono,Argentina,2,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Franco Mastantuono,44,,,,,MID,,MID,5.8,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Emiliano Martínez,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Emiliano Martínez,45,,,,,GK,,GK,5,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Gerónimo Rulli,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Gerónimo Rulli,46,,,,,GK,,GK,4.5,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Juan Musso,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Juan Musso,47,,,,,GK,,GK,4.3,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Leandro Paredes,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Leandro Paredes,48,,,,,MID,,MID,5.6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Máximo Perrone,Argentina,2,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Máximo Perrone,49,,,,,MID,,MID,5.6,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Rodrigo De Paul,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Rodrigo De Paul,50,,,,,MID,,MID,5.9,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Nico Paz,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Nico Paz,51,,,,,MID,,MID,5.9,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Alejandro Garnacho,Argentina,2,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Alejandro Garnacho,52,,,,,MID,,MID,5.5,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Valentín Barco,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Valentín Barco,53,,,,,MID,,MID,6.2,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Exequiel Palacios,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Exequiel Palacios,54,,,,,MID,,MID,6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Thiago Almada,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Thiago Almada,55,,,,,MID,,MID,6.5,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Alexis Mac Allister,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Alexis Mac Allister,56,,,,,MID,,MID,6.6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Enzo Fernández,Argentina,2,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Enzo Fernández,57,,,,,MID,,MID,7.5,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Jordan Bos,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Jordan Bos,58,,,,,DEF,,DEF,4,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Kye Rowles,Australia,3,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Kye Rowles,59,,,,,DEF,,DEF,3.9,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Alessandro Circati,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Alessandro Circati,60,,,,,DEF,,DEF,3.9,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Cameron Burgess,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Cameron Burgess,61,,,,,DEF,,DEF,3.8,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Milos Degenek,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Milos Degenek,62,,,,,DEF,,DEF,3.8,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Aziz Behich,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Aziz Behich,63,,,,,DEF,,DEF,3.8,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Jason Geria,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Jason Geria,64,,,,,DEF,,DEF,3.7,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Fran Karacic,Australia,3,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Fran Karacic,65,,,,,DEF,,DEF,3.6,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Kai Trewin,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Kai Trewin,66,,,,,DEF,,DEF,3.5,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Lucas Herrington,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Lucas Herrington,67,,,,,DEF,,DEF,3.5,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Nestory Irankunda,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Nestory Irankunda,68,,,,,FWD,,FWD,5.1,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Martin Boyle,Australia,3,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Martin Boyle,69,,,,,FWD,,FWD,5.1,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Nishan Velupillay,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Nishan Velupillay,70,,,,,FWD,,FWD,4.4,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Deni Juric,Australia,3,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Deni Juric,71,,,,,FWD,,FWD,4.2,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Jacob Italiano,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Jacob Italiano,72,,,,,DEF,,DEF,4.2,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Ante Suto,Australia,3,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Ante Suto,73,,,,,FWD,,FWD,4,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Mathew Ryan,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Mathew Ryan,74,,,,,GK,,GK,4.1,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Paul Izzo,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Paul Izzo,75,,,,,GK,,GK,3.6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Patrick Beach,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Patrick Beach,76,,,,,GK,,GK,3.5,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Paul Okon,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Paul Okon,77,,,,,MID,,MID,4.7,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Patrick Yazbek,Australia,3,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Patrick Yazbek,78,,,,,MID,,MID,4.9,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Alex Robertson,Australia,3,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Alex Robertson,79,,,,,MID,,MID,5.1,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
Connor Metcalfe,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Connor Metcalfe,80,,,,,MID,,MID,5.3,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Aiden O'Neill,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Aiden O'Neill,81,,,,,MID,,MID,5.4,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Awer Mabil,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Awer Mabil,82,,,,,MID,,MID,5.6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Ajdin Hrustic,Australia,3,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Ajdin Hrustic,83,,,,,MID,,MID,5.7,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Riley McGree,Australia,3,review,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Riley McGree,84,,,,,MID,,MID,5.9,transferred,,,,false,Official FIFA fantasy players.json status is transferred; kept in review because this does not prove final squad inclusion or exclusion.
David Alaba,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,David Alaba,85,,,,,DEF,,DEF,4.6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Philipp Lienhart,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Philipp Lienhart,86,,,,,DEF,,DEF,4.3,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Alexander Prass,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Alexander Prass,87,,,,,DEF,,DEF,4.3,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Kevin Danso,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Kevin Danso,88,,,,,DEF,,DEF,4.3,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Stefan Posch,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Stefan Posch,90,,,,,DEF,,DEF,4.3,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Phillipp Mwene,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Phillipp Mwene,91,,,,,DEF,,DEF,3.9,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Marco Friedl,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Marco Friedl,92,,,,,DEF,,DEF,4.3,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
David Affengruber,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,David Affengruber,93,,,,,DEF,,DEF,3.9,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Michael Svoboda,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Michael Svoboda,94,,,,,DEF,,DEF,3.8,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Marko Arnautovic,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Marko Arnautovic,95,,,,,FWD,,FWD,6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Michael Gregoritsch,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Michael Gregoritsch,96,,,,,FWD,,FWD,6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Sasa Kalajdzic,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Sasa Kalajdzic,97,,,,,FWD,,FWD,6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Alexander Schlager,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Alexander Schlager,98,,,,,GK,,GK,4.6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
Patrick Pentz,Austria,4,selectable_fantasy_player,https://play.fifa.com/json/fantasy/players.json,2026-06-02,Patrick Pentz,99,,,,,GK,,GK,4.6,playing,,,,false,"Official FIFA fantasy players.json status is playing; classified as fantasy-selectable only, not confirmed_final_squad. Final squad source not independently available in this import."
